"pk_occupation","name","definition","notes"
1,Courtier en assurance,"An insurance broker is an intermediary who sells, solicits, or negotiates insurance on behalf of a client for compensation.",
2,Femme au foyer,,
3,Sociologue,"Sociology is the scientific study of human society that focuses on society, human social behavior, patterns of social relationships, social interaction, and aspects of culture associated with everyday life",
4,Professeur à l'université,,
5,Psychologue social,"In sociology, social psychology (also known as sociological social psychology) studies the relationship between the individual and society.",
6,Peintre en bâtiment,,
7,Business man dans l'industrie textile,,
8,Rabbin,A rabbi is a spiritual leader or religious teacher in Judaism.,
9,Historien,,
10,Employée de maison,,
11,Soldat,,
12,Pharmacien,,
13,Philosophe,,
14,Facteur,,
15,Professeur de lycée,,
16,Chercheur,,
17,Musicien,,
18,Activiste,,
19,Chef du département d'exportation d'une usine de quicaillerie ,,
20,Employé dans un casino,,
