"pk_geographical_place","name","fk_geographical_place_type","fk_country"
1,United States of America,1,
2,France,1,
3,Poland,1,
4,England,1,
5,Canada,1,
6,Evanston,2,1
7,Chicago,2,1
8,Manchester,2,4
9,Rio de Janeiro,2,51
10,Seattle,2,1
11,Paris,2,2
12,Lille,2,2
13,Oakland,2,1
14,Saas-Fee,2,54
15,Bennington,2,4
16,New Haven,2,1
17,Heidelberg,2,52
18,Middletown,2,1
19,Foggy Bottom,2,1
20,Baltimore,2,1
21,Amsterdam,2,56
22,New York,2,1
23,Cambridge,2,4
24,Nashville,2,1
25,Berlin,2,52
26,Atlanta,2,1
27,Wilberforce,2,1
28,Philadelphia,2,1
29,"Washington, D.C.",2,1
30,Leipzig,2,52
31,Marburg,2,52
32,Bordeaux,2,2
33,Wrocław,2,3
34,Frankfurt,2,52
35,London,2,4
36,Leicester,2,4
37,Accra,2,55
38,Bielefeld,2,52
39,Winnipeg,2,5
40,Toronto,2,5
41,Betheseda,2,1
42,Syracuse,2,1
43,Leeds,2,4
44,Kingston upon Hull,2,4
45,Birmingham,2,4
46,College Station,2,1
47,Austin,2,1
48,Madison,2,1
49,College Park,2,1
50,Copenhagen,2,53
51,Brésil,1,
52,Allemagne,1,
53,Danemark,1,
54,Suisse,1,
55,Ghana,1,
56,Pays-Bas,,
57,Alger,2,59
58,Lituanie,1,
59,Algérie,1,
60,Illinois,2,1
61,Stanford,2,1
