"pk_pursuit","fk_person","fk_occupation","fk_organisation","date_begin","date_end","notes"
1,1,17,1,"1933",,
2,1,16,3,"1951",,
3,1,16,65,"1953","1955",
4,1,16,66,"1955","1957",
5,1,4,2,"1951","1953",
6,1,4,1,"1965","1991",
7,1,4,4,,,
8,1,4,5,,,
9,1,4,6,"1991","1999",
10,2,15,,"1954","1955",
11,2,11,,"1955","1956",
12,2,16,,"1958","1962",
13,2,4,10,"1960","1964",
14,2,4,7,"1964","2001",
15,3,4,18,,,
16,3,4,19,,,
17,3,4,20,,,
18,3,4,13,"1993",,
19,3,4,21,"2002",,
20,3,4,22,"2012","2014",
21,15,12,,,,
22,16,12,,,,
23,4,18,67,"1965","1968",
24,4,18,68,"1968",,
25,5,15,,"1886","1886",
26,5,16,26,"1892",,
27,5,4,29,"1894","1896",
28,5,16,30,"1896","1897",
29,5,4,28,"1897",,
30,5,16,31,"1897","1910",
31,5,18,27,"1910",,
32,5,18,70,"1911",,
33,5,4,28,"1934",,
34,19,8,,,,
35,6,4,35,"1887",,
36,6,4,9,"1902","1917",
37,21,7,,,,
38,7,11,,"1915","1917",
39,7,19,,"1922",,
40,7,16,,"1933","1935",
41,7,16,38,"1939","1940",""
42,7,4,71,"1941",,
43,7,4,39,"1941",,
44,7,4,39,"1954","1975",
45,8,20,,,,
46,8,16,46,"1954","1957",
47,8,4,13,"1958","1968",
48,8,4,30,"1968",,
49,8,18,47,"1970",,
50,25,6,,,,
51,9,4,50,"1946","1959",
52,9,4,39,"1959","1962",
53,9,4,51,"1962","1973",
54,27,1,,,,
55,28,2,,,,
56,10,4,63,"1941","1945",
57,10,16,22,"1945","1946",
58,10,4,22,"1946",,
